ƒtƒ@ƒCƒ‹–¼,BPM,Å‚‰¹,Å‚‰¹‚Ì‰ÌŒ,Å’á‰¹,Å’á‰¹‚Ì‰ÌŒ
akai_kutsu.ust,84.0,D#5,n ‚ÈC5,C4,- ‚ 
amefuri.ust,104.0,C5,e ‚©C5,C4,- ‚ 
antagata_dokosa.ust,108.0,B4,a ‚ĞC5,E4,- ‚ D4
aogeba_toutoshi.ust,56.0,D#5,o ‚ÆC5,D4,u ‚ÆD4
aoimeno_ningyou.ust,72.0,C#5,a ‚ C5,B3,i ‚ñ
chatsumi.ust,120.0,D5,u ‚ÍC5,D4,- ‚ÈD4
donguri_korokoro.ust,120.0,C5,e ‚³C5,C4,o ‚ë
furusato.ust,80.0,D5,u ‚ÈC5,C4,e ‚í
genkotsuyamano_tanukisan.ust,100.0,B4,a ‚ÌC5,E4,u ‚«D4
haruga_kita.ust,120.0,E5,o ‚ÉC5,C4,i ‚«
haruno_ogawa.ust,104.0,C5,a ‚íC5,C4,a ‚È
haruyo_koi.ust,90.0,C#5,- ‚ÍC5,C#4,i ‚ÄD4
hato.ust,102.0,D5,e ‚ÈC5,F4,- ‚ÛD4
hiraita_hiraita.ust,128.0,D5,o ‚ÜC5,E4,i ‚½D4
hotaruno_hikari.ust,72.0,D5,u ‚«C5,C4,- ‚Ù
issunboushi.ust,100.0,D5,- ‚·C5,C4,- ‚ä
jugoya_otsukisan.ust,100.0,E5,o ‚âC5,D4,a ‚ÆD4
kachushano_uta.ust,60.0,D5,a ‚ C5,C4,- ‚©
kagome_kagome.ust,60.0,B4,o ‚ßC5,E4,i ‚íD4
kintarou.ust,80.0,D5,a ‚½C5,C4,a ‚³
koganemushi.ust,116.0,D5,a ‚ C5,A3,i ‚í
koinobori.ust,88.0,C5,- ‚¿C5,C4,e ‚æ
momiji.ust,92.0,D5,i ‚ëC5,C4,i ‚É
momotarou.ust,112.0,C5,- ‚ĞC5,C4,o ‚¤
mushino_koe.ust,80.0,D5,a ‚ÈC5,D4,o ‚¦D4
nanatsunoko.ust,80.0,E5,a ‚ÈC5,B3,a ‚·
oborodukiyo.ust,80.0,D5,o ‚¨C5,C4,o ‚Í
random_1.ust,120.0,E5,i ‚É‚¥C5,A#3,- ‚¸
random_2-0.ust,157.0,B6,u ‚¬‚åC5,C2,u ‚à
random_2-1.ust,173.0,B6,u ‚ĞC5,C2,e ‚¬‚¥
random_2-2.ust,263.0,B6,i ‚´C5,C2,- ‚¶‚ã
random_2-7.ust,167.0,B6,o ‚µ‚áC5,C2,- ‚Ñ‚¥
random_2-9.ust,199.0,B6,u ‚ C5,C2,i ‚¬‚¥
random_2.ust,120.0,E5,a ‚¤C5,A#3,u ‚©
random_3.ust,120.0,E5,e ‚ÚC5,A#3,a ‚Ğ
random_5.ust,120.0,E5,o ‚¶C5,A#3,a ‚³
random_8.ust,120.0,E5,- ‚«C5,A#3,o ‚Å
sakura_sakura.ust,90.0,C5,a ‚ÜC5,B3,i ‚è
seikurabe.ust,96.0,D5,i ‚½C5,C4,- ‚Í
shabondama.ust,72.0,D5,e ‚ÜC5,A3,- ‚µ‚á
shoujoujino_tanukibayashi.ust,80.0,E5,u ‚«C5,C4,- ‚µ‚å
tetsudou_shouka.ust,114.0,E5,a ‚ÜC5,D4,i ‚¨D4
tonbi.ust,96.0,C5,e ‚ÆC5,C4,- ‚Æ
toryanse.ust,120.0,E5,o ‚è‚áC5,D4,a ‚µ‚áD4
urashima_tarou.ust,100.0,D5,u ‚¤C5,C4,- ‚Ş
usagi.ust,72.0,C5,u ‚²C5,D4,a ‚ËD4
usagito_kame.ust,108.0,C5,i ‚àC5,C4,e ‚³
warewa_uminoko.ust,126.0,D5,u ‚¢C5,A3,a ‚ê
yurikagono_uta.ust,112.0,D5,u ‚èC5,C4,i ‚â
zuizui_zukkorobashi.ust,100.0,C#5,u ‚İC5,E4,o ‚ÉD4
